Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
74376.0,101940.0,27.0,970
75444.0,76164.0,0.9,971
77976.0,93396.0,16.5,972
75348.0,97518.0,22.7,973
75624.0,102120.0,25.9,974
74856.0,116346.0,35.7,975
76206.0,91524.0,16.7,976
76134.0,100962.0,24.6,977
80796.0,97986.0,17.5,978
73944.0,97194.0,23.9,979
83022.0,99894.0,16.9,980
81156.0,120000.0,32.4,981
74400.0,102924.0,27.7,982
77892.0,97860.0,20.4,983
83394.0,102414.0,18.6,984
74136.0,100200.0,26.0,985
74016.0,82236.0,10.0,986
75858.0,100116.0,24.2,987
78684.0,97920.0,19.6,988
75060.0,84288.0,10.9,989
81972.0,120000.0,31.7,990
75720.0,91644.0,17.4,991
73608.0,90084.0,18.3,992
88752.0,120000.0,26.0,993
74568.0,114408.0,34.8,994
79056.0,120000.0,34.1,995
75600.0,120000.0,37.0,996
74064.0,100056.0,26.0,997
75936.0,101154.0,24.9,998
75636.0,83028.0,8.9,999
75498.0,94314.0,20.0,1000
73440.0,78636.0,6.6,1001
80826.0,89364.0,9.6,1002
76812.0,107580.0,28.6,1003
79632.0,105354.0,24.4,1004
79212.0,114390.0,30.8,1005
76968.0,117504.0,34.5,1006
76044.0,89088.0,14.6,1007
91080.0,108678.0,16.2,1008
75072.0,117714.0,36.2,1009
74592.0,105186.0,29.1,1010
80868.0,86568.0,6.6,1011
74280.0,102600.0,27.6,1012
17064.0,17520.0,2.6,1013
58230.0,61632.0,5.5,1014
78792.0,103932.0,24.2,1015
87258.0,116316.0,25.0,1016
74400.0,112914.0,34.1,1017
74472.0,76164.0,2.2,1018
74016.0,100068.0,26.0,1019
74520.0,105882.0,29.6,1020
79050.0,120000.0,34.1,1021
18318.0,19020.0,3.7,1022
76404.0,106368.0,28.2,1023
80862.0,103092.0,21.6,1024
77364.0,115854.0,33.2,1025
75642.0,101658.0,25.6,1026
75840.0,103200.0,26.5,1027
49332.0,51744.0,4.7,1028
77256.0,116052.0,33.4,1029
78576.0,93936.0,16.4,1030
84852.0,105828.0,19.8,1031
74904.0,75744.0,1.1,1032
77808.0,85740.0,9.3,1033
79296.0,120000.0,33.9,1034
81066.0,101340.0,20.0,1035
79086.0,108756.0,27.3,1036
85938.0,115632.0,25.7,1037
78918.0,87624.0,9.9,1038
77196.0,88140.0,12.4,1039
83520.0,120000.0,30.4,1040
74712.0,109422.0,31.7,1041
76776.0,96924.0,20.8,1042
80784.0,116682.0,30.8,1043
78072.0,93696.0,16.7,1044
25152.0,25896.0,2.9,1045
76248.0,101790.0,25.1,1046
73392.0,76956.0,4.6,1047
77184.0,114828.0,32.8,1048
74280.0,106854.0,30.5,1049
75516.0,76836.0,1.7,1050
78528.0,110754.0,29.1,1051
77352.0,111060.0,30.4,1052
76800.0,100644.0,23.7,1053
82116.0,100026.0,17.9,1054
74544.0,78792.0,5.4,1055
73752.0,97314.0,24.2,1056
77820.0,104232.0,25.3,1057
81012.0,114390.0,29.2,1058
78228.0,99144.0,21.1,1059
73704.0,93720.0,21.4,1060
78924.0,92712.0,14.9,1061
87336.0,120000.0,27.2,1062
79908.0,97044.0,17.7,1063
76446.0,101412.0,24.6,1064
59244.0,60756.0,2.5,1065
81756.0,106470.0,23.2,1066
75804.0,82632.0,8.3,1067
94986.0,118854.0,20.1,1068
84948.0,99072.0,14.3,1069
74232.0,100326.0,26.0,1070
51312.0,51312.0,0.0,1071
75480.0,120000.0,37.1,1072
85278.0,104352.0,18.3,1073
75216.0,117084.0,35.8,1074
76200.0,100194.0,23.9,1075
74616.0,111774.0,33.2,1076
76056.0,91692.0,17.1,1077
60672.0,66252.0,8.4,1078
83592.0,103128.0,18.9,1079
88140.0,110580.0,20.3,1080
80556.0,107298.0,24.9,1081
87108.0,105408.0,17.4,1082
54168.0,58368.0,7.2,1083
74736.0,113034.0,33.9,1084
51312.0,53436.0,4.0,1085
73584.0,91440.0,19.5,1086
74568.0,86568.0,13.9,1087
74880.0,111378.0,32.8,1088
80724.0,111930.0,27.9,1089
77490.0,96132.0,19.4,1090
73944.0,105192.0,29.7,1091
78252.0,117072.0,33.2,1092
48732.0,52440.0,7.1,1093
75576.0,120000.0,37.0,1094
73632.0,96816.0,23.9,1095
72582.0,73704.0,1.5,1096
77118.0,99576.0,22.6,1097
80760.0,107286.0,24.7,1098
76356.0,103896.0,26.5,1099
78516.0,111378.0,29.5,1100
75048.0,118788.0,36.8,1101
76134.0,100242.0,24.0,1102
77784.0,109464.0,28.9,1103
83982.0,96264.0,12.8,1104
75732.0,105774.0,28.4,1105
78234.0,108606.0,28.0,1106
77616.0,114132.0,32.0,1107
76902.0,102552.0,25.0,1108
81816.0,110826.0,26.2,1109
73920.0,93156.0,20.6,1110
74064.0,99630.0,25.7,1111
73824.0,88968.0,17.0,1112
74688.0,111942.0,33.3,1113
75408.0,95760.0,21.3,1114
77784.0,109716.0,29.1,1115
77544.0,86664.0,10.5,1116
79080.0,93792.0,15.7,1117
79092.0,104526.0,24.3,1118
77592.0,101442.0,23.5,1119
79428.0,110046.0,27.8,1120
80016.0,112302.0,28.7,1121
79920.0,107988.0,26.0,1122
75342.0,82860.0,9.1,1123
74520.0,110226.0,32.4,1124
57576.0,61620.0,6.6,1125
74184.0,101964.0,27.2,1126
75072.0,119352.0,37.1,1127
77436.0,115098.0,32.7,1128
37476.0,37980.0,1.3,1129
83400.0,120000.0,30.5,1130
76416.0,110538.0,30.9,1131
82104.0,114168.0,28.1,1132
72840.0,72840.0,0.0,1133
90084.0,114750.0,21.5,1134
74448.0,81300.0,8.4,1135
80478.0,117654.0,31.6,1136
82374.0,113292.0,27.3,1137
79998.0,98334.0,18.6,1138
79524.0,112122.0,29.1,1139
